;;;;;;;;;;;;;;;;x,,,,,,,,,,,,,,
EVTNAME10225;Hungarian Revolution of $YEAR$;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC10225;The Hungarian nobility has grown increasingly nationalistic and liberal in recent years. The cities and countryside have become increasingly unruly, a violent and dangerous place for Bohemian officials and Czechs. In response, the Bohemian government ordered the Hungarian Diet dissolved and the replacement of the Governing Council with a single governor, Count Jirí Lukavský of Olomouc. The Hungarians have refused to obey, and thus we now face civil war to maintain the integrity of the realm.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,
EVTDESC18506;Ours is a nation of liberty, where every man is born with the inherent right to seek his own destiny. The possibility of prosperity lies within every man's reach. A recent report in a $CAPITAL$ newspaper regarding the acquittal of a man popularly believed to be innocent has served to reinforce our peoples' ideals. Today they walk a little more proudly than before.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
EVTDESC18501;Ours is a nation of equality, where no man is placed above another in importance. Everyone strives for the betterment of all. A recent report in a $CAPITAL$ newspaper regarding the arrest of a wealthy but criminal industrialist has served not to outrage the $COUNTRY_ADJ$ people, but rather to reinforce their ideals. Today our people walk a little more proudly than before.;;;;;;;;;;;;x,,,,,,,,
EVTDESC18230;Members of the ruling party have been busy within the $COUNTRY_ADJ$ government, slowly changing small rules that would make it difficult for opposition parties to get recognized and elected. Political boundaries have been shifted, and in some cases members of the opposition have even been harassed. Now it seems a bill has been put before the government which would entrench a large number of these rules, making them permanent. The government is adamant, saying the rules are needed to keep stability in $COUNTRY$, though the bill will no doubt be incredibly unpopular among the liberals.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,
EVTDESC18225;A bill has come before the government in $CAPITAL$ regarding the rights of the people to gather. Many feel that reforms have allowed the $COUNTRY_ADJ$ people to become too liberated-- they gather in crowds, protesting the government and otherwise stirring the rest of the rabble. Once upon a time, they say, this simply wouldn't have been allowed. New rules must be put in place to limit the number of people that can meet in one place, and for what purpose. While some might be upset by the bill's passing, the government appears entrenched in its position.;;;;;;;;;;;;x,,,,,
EVTDESC18220;A bill has come before the government in $CAPITAL$ regarding the rights of the press. Many feel that the reforms have allowed the $COUNTRY_ADJ$ newspapers to become combative with the government, inciting dissension and making the $COUNTRY_ADJ$ people harder to control. This control is necessary, they say, if $COUNTRY$ is to remain strong and united. While some might be upset by the bill's passing, the government appears entrenched in its position.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,
EVTDESC18215;A group of the ruling elite in $CAPITAL$ has recently become very concerned at reforms which have made it possible for members of the government to hold views outside of party policies. These reforms have made things too lax, they say, and will ultimately lead to the demise of $COUNTRY$. They've succeeded in gathering enough clout to pass a bill strengthening the power of the party whips, and ensuring that the party's influence in the government remains absolute.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,
EVTDESC18210;A bill has come before the government in $CAPITAL$ regarding the current enfranchisement offered to the $COUNTRY_ADJ$ people. The discussion so far has been that expanding the voter base has led only to problems, and this bill would tighten the restrictions on voting... to the point where entire groups of people would have their voting rights removed. Passing the bill would no doubt cause problems, but the government seems determined to do so.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
EVTDESC17730;A communist demonstration in the streets of $PROVINCENAME$, with shouts decrying the state of workers in $COUNTRY$, has gained the communists a great deal of attention and sympathy throughout $STATENAME$. Attempting to crack down on these agitators may only cause the demonstrations to turn into violence.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
EVTDESC17720;The tense situation in one of our states has been aggravated by the presence of communist agitators, spurring on the working classes to rise up against the government and institute a rule by the workers. We could step in, but that might only provoke a rebellion. Allowing the agitators to continue spreading their propaganda, however, might let them get a stronger foothold in $COUNTRY$.;;;;;;;;;;;;x,,,,,,
EVTDESC17715;Socialist leanings have become quite prevalent in parts of $COUNTRY$, and among these socialists radical ideas have been spreading-- namely that the common man can only achieve true freedom by overthrowing the government and establishing a rule by the working class. They cite the $COUNTRY_ADJ$ government as tyrannical, and one that will never bend to true reform... and the people have been listening.;;;;;;;;;;;;x,,,,,,,,
EVTDESC17710;Communists have been distributing literature among the working classes in one of our states. They are claiming that the common man needs to rise up against the 'bourgeois' class, and that rule by the workers is the only way they can obtain fair conditions and a truly utopian society. Government officials are concerned, and some say that we need to crack down hard on this kind of talk.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
EVTDESC16401;Yesterday morning we recieved a petition from the $FROMCOUNTRY_ADJ$ government, requesting Statehood in the United States of Central America. A state constitution has been submitted, along with maps defining the state's territorial boundries. Common opinion seems to hold it a forgone conclusion that we will accept this petition for statehood and forever join $FROMCOUNTRY$ into our prosperous $COUNTRY_ADJ$ republic.;;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
EVTDESC14005;It can quickly become tiresome to handle the issues revolving around an election. Free trade, limited citizenship, jingoism, and on and on. You could be forgiven for becoming bored of sheepish aides repeatedly asking whether the people in such-and-such a state would be best guided toward pro-military or anti-military viewpoints. We could issue a decree stating that the government will have no part in guiding the people during the decision. That way they can make up their minds on their own. Of course, this would make it less possible for us to influence the elections.;;;;;;;;;;;x
EVTDESC13370;$CAPITAL$ has been occupied by the Righteous Society of Harmonious Fists, who have successfully driven foreign influence out of the country and restored it to its traditional policies of isolationism. What repercussions this will cause with the western powers remains to be seen, but for the moment the Empire stands triumphant.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
EVTDESC13365;The Righteous Society of Harmonious Fists have invaded lands currently owned by a colonial power, but which rightfully belong to the Chinese. More than that, they have successfully occupied the territory and rebuffed efforts by westerners to take it back. We can attempt to stake our claim over the land once again," though if we do it is all but tantamount to a declaration of war, and, considering the state the Qin Empire is in", it might be a war in which we stand to lose more than we gained.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,
EVTDESC13280;The reforms sweeping through our country have upset the landed elites in one of our cities.;Les réformes menées dans notre pays déplaisent aux élites foncières de $PROVINCENAME$.;Die unser Land überziehenden Reformen haben die Landbesitzereliten in $PROVINCENAME$ verärgert.;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,,,,,,,,,,,,,,,,,,,,
EVTDESC13240_NEW;The oil lamp flickered, casting an orange, sooty glow across the moist brown of the cargo hold. The average ship docking in $COUNTRY$ carried very little to raise an eyebrow, but years of being fooled and fooled again by foreign merchants, trying to dodge some excise or other, had left him with a sixth sense for when things were out of order. A rat scurrying between some crates tipped him off. A sweet, pungent scent too familiar not to be alluring. Opium. A cargo hold full of opium.;;Die Öllampe flackerte und schien ein rußig-oranges Glühen über das feuchte Braun des Frachtraums. Das durchschnittlich aussehende Schiff, das in $PROVINCENAME$ vor Anker lag, führte wenig mit sich, das auch nur ein Augenbrauenheben verursachen würde, doch Jahre der Erfahrung mit ausländischen Kaufleuten, die immer wieder versuchten, ihn aufs Kreuz zu legen und Steuern zu umgehen, hatten ihm einen sechsten Sinn dafür eingebracht, wann etwas nicht in Ordnung war. Eine zwischen einigen Kisten umherhuschende Ratte hatte es ihm verraten. Ein süßlicher Geruch, zu vertraut, um nicht verlockend zu wirken. Opium. Ein ganzer Frachtraum voller Opium.;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,,,,
EVTDESC13230;Wandering alone in the streets of $CAPITAL$ can be a dangerous thing, as a foreign ambassador in the Legation Quarter recently found out. Guards report having found him dead at 4 a.m. in the morning, apperently the vicitm of a robbery, however the foreigners accuse us of having failed in our supposed responsibility to protect their diplomats. We fear that even a formal apology will not be enough to placate them, however, something more tangible might...;;Alleine durch die Straßen von $PROVINCENAME$ zu wandern, kann gefährlich sein, wie ein ausländischer Botschafter im Legationsviertel neulich herausfand. Wachen fanden ihn um vier Uhr morgens tot auf, offensichtlich Opfer eines Raubüberfalls. Die Ausländer aber beschuldigen uns, unserer angeblichen Pflicht, ihre Diplomaten zu schützen, nicht Genüge getan zu haben. Wir fürchten, dass selbst eine formelle Entschuldigung nicht ausreichen wird, um sie zu besänftigen, aber vielleicht etwas mehr Handfestes ...;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,,,,,,
EVTDESC13220;Several of the Great Powers have in the past few years sought to establish formalized and permanent embassies in $COUNTRYNAME$, but up until now we've turned down their proposals. However, an idea has been floating around the capital that we should perhaps allow them to set up these embasasies after all, provided they are all kept in one place where we can exact some amount of control over them. Perhaps a Legation Quarter in $CAPITAL$ could be just the thing?;;Mehrere Großmächte haben in der Vergangenheit versucht, formelle und permanente Botschaften in $COUNTRYNAME$ zu errichten, aber bis heute haben wir ihre Ansinnen abgelehnt. Jedoch geistert eine Idee durch die Hauptstadt, dass wir ihnen vielleicht doch erlauben sollten, hier Botschaften zu errichten, solange sie alle am selben Ort sind, wo wir sie bis zu einem gewissen Grad kontrollieren können. Vielleicht wäre ein Legationsviertel in $PROVINCENAME$ genau das Richtige?;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,,,,,,,,,,,
EVTDESC13202;Our relations with $FROMCOUNTRY$ have worsened to the point that members of their government have begun a campaign to reduce or even eliminate $COUNTRY_ADJ$ influence. Some of our diplomats have fled, and now we are faced with the unpleasant prospect of either enforcing our interests or suffering embarassment at our inability to manage a former ally.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
EVTDESC13186;A group of $COUNTRY_ADJ$ entrepeneurs recently spent time plying $FROMCOUNTRY_ADJ$ officials with liquor and favors at a formal affair in $FROMCOUNTRY$'s legation quarter. The result is promising, a number of new business ventures and trade deals, giving $COUNTRY$ greater sway over $FROMCOUNTRY_ADJ$ affairs. All these men require is our government's support.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
EVTDESC13185;A group of western expatriates currently residing in $CAPITAL$ have offered an invitation to high-ranking members of the $COUNTRY_ADJ$ government to attend a fancy affair in the legation quarter. We're well aware that this is just an excuse for these men to gain more influence in $COUNTRY$, but there could be benefits for us as well, namely using the opportunity to gain insight into their methods.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
EVTDESC13160;Sailors winding up drunk in $COUNTRY_ADJ$ prisons aren't normally affairs of state, but this is an exception. A navyman from one of the Great Powers has been arrested by officials in one of our cities, after having murdered one of our subjects in what appears to have started as a bar fight. The diplomatic attaché insists that the sailor be handed over to the country in question, and tried according to their laws. This presents us with a conundrum. Granting this privilege once is tantamount to allowing extraterritoriality to all foreign subjects, but not doing so might very well cause international uproar. This issue merits careful consideration.;;Betrunkene Matrosen, die in $COUNTRY_ADJ$ Gefängnissen landen, sind üblicherweise keine Staatsaffären, aber dies ist eine Ausnahme. Ein Matrose aus einer der Großmächte wurde in $PROVINCENAME$ verhaftet, nachdem er einen unserer Untertanen im Verlauf einer Kneipenschlägerei umbrachte. Der diplomatische Attaché besteht darauf, dass der Matrose den Gerichten seines Heimatlandes ausgeliefert und dort nach ihren Gesetzen verurteilt wird. Dies bringt uns in eine Zwickmühle. Dieses Privileg ist ein wichtiger Teil der Extraterritorialität, die allen Ausländern zusteht, aber wenn wir es nicht tun, sehen wir einem internationalen Aufschrei entgegen. Dieses Problem muss sorgfältig durchdacht werden.;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,,,,,,,,
EVTDESC13140;Some intelligence concerning our military preparations has spread from the military mission in one of our provinces, severely hurting our war effort. We have expelled the members of the mission, but the damage has already been done.;Des renseignements confidentiels concernant nos préparatifs militaires ont été divulgués par la mission militaire de $PROVINCENAME$, estropiant gravement notre effort de guerre. Nous avons expulsé les membres de la mission, mais le mal est fait.;Einige Informationen über unsere militärischen Vorbereitungen haben sich aus der Militärmission in $PROVINCENAME$ verbreitet und schaden unseren Kriegsbemühungen enorm. Wir haben die Missionsmitglieder des Landes verwiesen, aber der Schaden ist passiert.;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,,,,,,,,,,,,,,,
EVTDESC13090;He unveils the device with the excitement of a child. - 'You can see their eyes!', he cries, pointing excitedly at the jar of beetles. He instructs you to look into the object , the glass and metal is cold against your face , there, in curves of an optic lense, reality is magnified ten times over. - 'It's a microscope!, he laughs. - 'I bought it from one of the foreigners!';;Er enthüllt den Apparat mit der Begeisterung eines Kindes. - 'Man kann ihre Augen sehen!', ruft er aus und deutet aufgeregt auf das Glas mit den Käfern. Er bedeutet Ihnen, in den Apparat zu schauen , das Glas und Metall fühlt sich auf Ihrem Gesicht kalt an , dort, in den Biegungen einer optischen Linse, sieht die Realität zehnmal größer aus. - 'Es ist ein Mikroskop!', lacht er. - 'Ich habe es von den Ausländern in $PROVINCENAME$ gekauft!';;;;;;;;;;;;x;;;;;;;;;;;;;;,,,,,,,,,,,,
EVTDESC13080;He hides his face and speaks with controlled anger. A local aristocrat has been insulted by one of the foreigners living in one of our provinces. Apperantly, the foreigner in question failed to bow in the appropriate manner when passing the aristocrat on the street. Shall we tolerate such blatant ignorance of our customs?;;Er verbirgt sein Gesicht und spricht mit kontrolliertem Ärger. Ein lokaler Aristokrat in $PROVINCENAME$ wurde von einem der dort lebenden Ausländer beleidigt. Offensichtlich versäumte der Ausländer, sich in der korrekten Weise zu verbeugen, als er dem Aristokraten auf der Straße begegnete. Sollen wir solch blatante Ignoranz unserer Sitten tolerieren?;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,,,,,,,,,,,,,,,,,
EVTDESC13070;Rangaku', literally translated as 'Dutch learning', and by extension 'Western learning', is a Japanese word used to describe a particular body of knowledge and learning imported from the west via a Dutch trading station at Dejima. Something similar has ocurred at the trading station in one of our provinces, where local officials are busy translating western books and treatises on science, advancing $COUNTRY_ADJ$ science and understanding of the world.;;Rangaku', wörtlich übersetzt als 'Lehren der Holländer', und weitergehend als 'Lehren aus dem Westen', ist ein japanisches Wort, das ein bestimmtes Wissen bedeutet, welches aus dem Westen über einen holländische Handelsposten in Dejima nach Japan kam. Etwas Ähnliches ist am Handelsposten in $PROVINCENAME$ geschehen, wo örtliche Beamte damit beschäftigt sind, westliche Bücher und wissenschaftliche Abhandlungen zu übersetzen, um die $COUNTRY_ADJ$ Wissenschaft und die Kenntnis von der Welt weiterzubringen.;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,,,,,,,
EVTDESC13061;The use of opium in a neighboring province has now spread to the inland. Farmers and laborers throughout $STATENAME$ fail to turn up for work, and entire fields fall fallow, as the people slip further and further down into the mists of consuming dependence.;L'usage de l'opium dans une province voisine s'est maintenant étendue à l'intérieur de ses terres. Les fermiers et ouvriers ne parviennent plus à se présenter au travail, et des champs entiers retombent en friche, les gens de $PROVINCENAME$ glissent de plus en plus dans les brumes de la dépendance. ;Der Gebrauch von Opium in einer Nachbarprovinz hat sich nun ins Inland ausgebreitet. Bauern und Arbeiter in $PROVINCENAME$ erscheinen nicht mehr zur Arbeit, und komplette Felder liegen brach, als die Menschen in $PROVINCENAME$ tiefer und tiefer in den Nebel der verzehrenden Sucht sinken.;;El uso del opio en una provincia vecina se ha extendido al interior. Los granjeros y los peones de $PROVINCENAME$ no han vuelto al trabajo, y las cosechas de campos enteros se marchitan, mientras los habitantes de $PROVINCENAME$ se sumergen cada vez más en las nieblas de la adicción.;;;;;;;;;x,,,,,,,,,,,,,,
EVTDESC13056;The great clippers ply our coastlines from north to south, like wolves culling out the weak and the corruptible with the poison they sell. Wherever there is an unexposed harbor, a foreign ship soon docks, and drives another fang into our national body. The use of opium has spread throughout $STATENAME$.;Les grands voiliers de commerce sillonent nos côtes du nord au sud, comme des loups à l'abattage des faibles et des corruptibles avec le poison qu'ils vendent. Partout où il y a un port non encore exposé, un navire étranger accoste bientôt, et plante un autre croc dans notre organisme national. L'usage de l'opium s'est étendue à $PROVINCENAME$. ;Die großen Klipper fahren unsere Küste von Norden nach Süden ab, wie Wölfe, die sich die Schwächsten aus der Herde suchen - in diesem Fall die mit ihrem wohlfeilen Gift Korrumpierbaren. Wo immer sich ein neuer Hafen findet, ankert bald ein ausländisches Schiff und rammt einen weiteren Reißzahn in den Körper unserer Nation. Der Opiumgebrauch hat sich nach $PROVINCENAME$ ausgebreitet.;;Los grandes veleros clíper navegan por nuestras costas, recorriéndolas de norte a sur, como lobos que acechan a los débiles y corruptibles con el veneno que venden. Cuando encuentran un puerto desprotegido, un barco extranjero atraca y clava su colmillo en el cuerpo de nuestra nación. El uso del opio se ha extendido a $PROVINCENAME$.;;;;;;;;;x,,,,,,,,,,
EVTDESC13051;Due to the trade restrictions on the sale of opium, a number of western merchants have instead gone underground. We have word that a group of them have set up shop in one of our coastal provinces, but so far none of the locals seem willing to come forth with information. If we allow the smuggling ring to remain, it seems only a matter of time before the opium problem spreads.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,
EVTDESC13050;A sweet, pungent stench hangs over the backstreets and alleys in one of our cities, emanating and spreading in every direction from an epicenter at the foreign trade station. The European traders have brought with them the habit of opium smoking, and our subjects have taken to it on a scale that threatens to become epidemic. It seems that, for every new ship that lands, more and more of our people get caught in the deadly and pacifying web of addiction. What should we do?;;Ein süßlich-stechender Gestank hängt über den Hintergassen und -gossen in $PROVINCENAME$ und verbreitet sich von einem Epizentrum an der ausländischen Handelsstation in alle Richtungen aus. Die europäischen Händler haben die Gewohnheit des Opiumrauchens mit sich gebracht, und unsere Untertanen haben sie auf eine Stufe erhöht, die zu einer Epidemie zu werden droht. Es scheint, dass mit jedem neuen Schiff, das ankert, mehr und mehr unserer Untertanen sich im tödlichen Netz der Sucht verstricken. Was sollen wir tun?;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,,,,,,,,,,
EVTDESC13040;Despite the obvious rightness of our country's trade policies, greater amounts of foreign goods could be useful, and elements within our administration have suggested setting up a limited trading post in one of our coastal cities, where foreign ships can moor and trade, without compromising the cultural integrity of $COUNTRY$. It could be an economic boon to the area and the nation, but conservative voices warn that destructive foreign influences might further creep into our society.;;Trotz der offensichtlichen Richtigkeit unserer Isolationspolitik könnte eine gewisse Menge ausländischer Güter uns von Nutzen sein. Einige Elements in unserer Regierung haben vorgeschladen, einen beschränkten Handelsposten in $PROVINCENAME$ zu errichten, wo ausländische Schiffe ankern und handeln können, ohne im Großen und Ganzen unsere Politik der Separation vom Rest der Welt außerhalb $COUNTRYNAME$ zu kompromittieren. Es könnte für das Gebiet wie auch die Nation einen wirtschaftlichen Aufschwung bedeuten, aber konservative Stimmen warnen, dass destruktive ausländische Einflüsse sich in unsere Gesellschaft einschleichen könnten.;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,,,,,,,,,,
EVTDESC13031;A group of $COUNTRY_ADJ$ citizens who left $COUNTRY$ some time ago on an expedition to $FROMCOUNTRY$ has been viciously refused entry to the country. It appears that the $FROMCOUNTRY_ADJ$ government has turned gradually to a policy of increasing isolationism, most likely in order to avoid the pains of modernizing their political, economical and social institutions. This policy of the $FROMCOUNTRY_ADJ$ government is, obviously, impairing the advances of $COUNTRY_ADJ$ trade, diplomacy and missionary activities in the region, and must be considered an unjust restriction of the international freedom of movement.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,
EVTDESC13030;News reaches us that an expatriate community of foreigners, from various European countries and Great Powers, has formed in one of our cities. Doubtlessly, this is a direct effect of our government's policy of open ports and borders. This influx might be positive, as our government seems to believe, however some voices have less kind things to say about the foreigners.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,
EVTDESC13021;We have received reports that a number of our missionaries have been executed in $FROMCOUNTRY$, part of a $FROMCOUNTRY_ADJ$ action to round up all unwanted foreigners. The missionaries were peaceful, and the $COUNTRY_ADJ$ public is understandably enraged. Many believe that war is necessary, while others believe the potential for war with $FROMCOUNTRY$ simply isn't worth it. The missionaries knew they were not permitted in $FROMCOUNTRY$, after all.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,
EVTDESC13020;Despite our policy of not permitting foreigners into $COUNTRY$, it has been discovered that a group of foreign missionaries has been traveling among our people and spreading their religion. While we have every right to execute them out of hand, this does raise the possibility of a confrontation with their home country. Do we wish to risk such a war, all for the sake of a few priests?;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,
EVTDESC13016;In what should come as no surprise, the foreign smuggling ring in one of our provinces has been caught red-handed selling opium to the locals.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
EVTDESC13015;One of our subjects has been discovered wearing foreign clothes, and further interrogation by the authorities has lead to the slow unraveling of a foreign smuggling ring. These foreigners come into $COUNTRY$ without permission, knowing they face execution should they be caught, yet some of our advisors say there are benefits to their presence, as they can supply needs to the $COUNTRY_ADJ$ people that we cannot.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,
EVTDESC13010;An old pond\nA frog jumps in —\nThe sound of water.'\n\n, Matsuo Basho\n\nOne of our coastal provinces is bustling with rumors about the strange people who were found along its shorelines earlier this morning. The more precise origin of these shipwrecked sailors is as of yet uncertain, but, wherever they are from, they are definitely not from $COUNTRY$. The difficulty now lies in deciding what to do with them: if we send them home, we are effectively changing our policy of non-interaction with the westerners. Ignoring them and allowing them to stay, however, means permitting a western presence in $COUNTRY$ despite all our efforts.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,
EVTDESC11120;The call has come to $COUNTRY$ to unite with Yugoslavia, a union of Slavic countries interested in protecting the Balkans from the encroachment of other European powers. Whether a union of cultures which have before now often been at war, and indeed still have considerable enmity for each other, will be difficult to say.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,
EVTDESC11115;Many within the $COUNTRY$ have always considered it a dream to form a greater union of the Slavic peoples, one spanning all of the Balkans and uniting them under a common flag. Such a nation would be far better suited at resisting the encroachment of foreign powers into the region. Now seems like the perfect opportunity for $COUNTRY$ to form such a union. Do we proceed with the creation of Yugoslavia, or let the dream die here?;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
EVTDESC11110;An open discussion amongst liberals in $COUNTRY$ has been occurring regarding the formation of a confederation of North German states. Conditions have never been right for it in the past, but many believe such a union is needed if the Germans are ever to have true security and take their place among the powers of the world. A $COUNTRY_ADJ$-led movement to create such a confederation might go over well with our neighbours, if we made the attempt to create it.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
EVTDESC11109;The call has gone out for the Ugric nations of Greater Finland to finally unite under a common banner, to resist the encroachment of the Russians as well as other European powers. This new nation, it is said, will be a power to rival even its most powerful neighbours.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,
EVTDESC11108;The call has gone out for the Slavic nations of the Balkans to finally unite under a common banner, to resist the encroachment of the Austrians and Turks as well as other European powers. Yugoslavia, it is said, will be a power to rival even its most powerful neighbours. Whether this new nation would succeed in holding together a people divided by centuries of bitter warfare is best left for speculation.;;;;;;;;;;;;x,,,,,,,
EVTDESC11106;$MONARCHTITLE$, the $FROMCOUNTRY_ADJ$ ambassador has presented us with news from the recent parliament of German revolutionaries. $FROMCOUNTRY$ has agreed to assemble a federation of German states, with the goal of eventually forming a greater Germany. If we do not agree,it is possible that $FROMCOUNTRY$ will attempt to take our lands by force.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,
EVTDESC11104;A pro-$UNION_ADJ$ revolution has taken hold in $FROMCOUNTRY$. Its liberal leaders believe that $COUNTRY$ is the nation best-suited to unite all of $CULTURE_GROUP_UNION$, and thus have sworn to support us until the union is ready to occur.;;;;;;;;;;;;x,,,,,,,,,
EVTDESC11100_NEW;A rising tide of liberal nationalism within $CULTURE_GROUP_UNION$ has begun to spread, raising the idea of a $UNION_ADJ$ union with $COUNTRY$ at its head. A parliament of liberal revolutionaries has been convened, with representatives from throughout $UNION_ADJ$ lands, which has decreed the time is right for the nation to unite under one banner. The parliament has offered the crown of $CULTURE_GROUP_UNION$ to us. We could accept the offer, but doing so would cause international alarm, and require us to compensate the revolutionaries politically.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,
EVTDESC10411;Louis-Napoleon has grown ill in recent months, slowly surrendering more and more ground to the Upper House. Thus his death comes with no surprise to many. Mourned by the entire nation, and by his beloved Empress Eugénie, the question now turns to who will follow him. His son and heir would be Napoleon IV… but he is still a young man, eager to live up to the legacy left him. Others favor the popular Bourbon Count of Paris. Still more, however, claim this is the perfect moment to restore the republic and end the monarchy once and for all.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,
EVTDESC10410;The popularity of Louis-Napoleon has waned. Where once it was expected that his ascension would return France to the greatness it experienced during the reign of his uncle, instead France sees itself being eclipsed by its neighbours. The Emperor has cultivated many enemies among the liberals in Paris, and now they have chosen their moment to strike. Napoleon has been deposed, and the only question remains as to what form France shall now take. Shall we restore the Bourbon dynasty under the Count of Chambord, elect for a Bourbon constitutional monarchy under the Comte de Paris, or instead opt to create the Third Republic?;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,
EVTDESC10405;Unable to force the Upper House to repeal its prohibition against presidential re-election and facing removal from power, the popular Louis-Napoleon has launched a coup d'etat and overthrown the French government. Loyal members of the army have locked down strategic locations in Paris, and the Assemblée Nationale has been dissolved, leaving Louis-Napoleon as the undisputed ruler of the country. He has been christened Napoléon III, regaining his uncle's throne as the Emperor of France.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,
EVTDESC10402;Louis-Napoléon Bonaparte has swept into power as France's new Head of State. The man carries with him the legacy of his infamous uncle, and with it the support of the masses. He has no friends in Paris, however, almost all of whom are nervous of the possibility that he might decide to follow in his uncle's footsteps.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,
EVTDESC10401;While it was expected that Louis-Napoléon Bonaparte would do well in the French presidential election, no one could have counted on the fact that he has done as well as this. Despite his autocratic leanings and lack of allies in Paris, he has managed to be something to everyone… even gaining the sponsorship of the Orleanists. The provisional government's candidate, Louis-Eugène Cavaignac, led the effort to quell an uprising in the city, leading to resentment among the masses which has translated into Napoleon's landslide. Many fear the man takes too much after his infamous uncle, and thus the idea has arisen of fixing the elections to ensure Cavaignac's victory. This would require us to restrict universal sufferage, as well as muffle the newspapers and political opponents. Either way, the ideals of the Second Republic seem at risk of compromise.;;;;;;;;;;;;x,,,,,,,,,,,,,,,
EVTDESC10400;The unrest in France hit its height recently, with crowds streaming through the streets of Paris and erecting barricades. In what was widely regarded as an accident, a French guardsmen fired his musket on the citizens and set off a massacre. The resulting conflagaration has swept the city, with crowds chanting 'Long live the Reform!' and 'Down with the King!'. Despite assurances that everything is under control, the king has abdicated and fled the country… leaving a provisional government to step in and declare the Second Republic.\n\nNow we have the task of building this new government, starting with a presidential election to determine its new Head of State. Considering the popularity of Louis-Napoléon Bonaparte among the masses, and the granting of universal voting rights, some are concerned that he may in fact take the leadership. If he does, who knows what this may mean for France?;;;;;;;;;;;;x,,,,,,,,,,,,,,
EVTDESC10231;Hungarian nationalists have become increasingly vocal in recent months at the unjust rulership that our supposedly democratic country has over them without their consent or participation. They have recently taken up arms and assaulted government officials and attacked our offices. If we are to call ourselves a democratic country, better than the absolute monarchy which we had until recently, then we must recognise our own failings and accommodate these people.;;;;;;;;;;x
EVTDESC10229;With the people seemingly ready to break down our doors, demanding constitutional reform, perhaps we should consider giving it to them? Some moderate reforms, allowing the masses their vote but retaining ultimate power for the $COUNTRY_ADJ$ aristocracy and the Kaiser, should please them enough to dispel this rabble... for now.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,
EVTDESC10228;With the entire nation ready to overthrow the monarchy, ministers have approached the King with advice on reforming the constitution before it's too late. The loss of Belgium has made a revision necessary already. Including provisions that permitted the direct election of the lower house as well as numerous freedoms the Dutch do not already enjoy might pacify the liberals.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
EVTDESC10227;Hungarian lands rightfully belong to us. With their new-found freedom, we are left with the decision whether we should pursue our claim to their lands or instead try to reconcile with the Hungarian government. If they remain hostile, after all, and we are unable to defeat them, they will become a very dangerous enemy on our border. Admitting their loss, however, might be a blow to our prestige we will never recover from.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,
